expected, output, measured
10,0.0106722,10.0231
10,0.0097792,10.0232
10,0.00992396,10.0233
10,0.0100686,10.0234
10,0.0100416,10.0235
10,0.0100716,10.0236
10,0.0101016,10.0237
10,0.0100742,10.0238
10,0.010104,10.0239
10,0.0100765,10.0241
10,0.010106,10.0242
10,0.0100783,10.0243
10,0.0100505,10.0244
10,0.0100798,10.0245
10,0.010109,10.0246
10,0.0100809,10.0247
10,0.0100527,10.0248
10,0.0100817,10.0249
10,0.0101105,10.025
10,0.0100821,10.0251
10,0.0100535,10.0252
10,0.0100821,10.0253
10,0.0101106,10.0254
10,0.0100817,10.0255
10,0.0100528,10.0256
10,0.0100811,10.0257
10,0.010052,10.0258
10,0.0100801,10.0259
10,0.0101081,10.026
10,0.0100787,10.0261
10,0.0100493,10.0262
10,0.010766,10.0263
10,0.00964674,10.0264
10,0.00990309,10.0265
10,0.010045,10.0266
10,0.0100724,10.0267
10,0.0100424,10.0268
10,0.0100697,10.0268
10,0.0100396,10.0269
10,0.0100667,10.027
10,0.0100936,10.0271
10,0.0100633,10.0272
10,0.0100902,10.0273
10,0.0100597,10.0274
10,0.0100864,10.0275
10,0.0100558,10.0276
10,0.0100251,10.0277
10,0.0100515,10.0277
10,0.0100779,10.0278
10,0.0101042,10.0279
10,0.0100732,10.028
10,0.0100422,10.0281
10,0.0100683,10.0282
10,0.0100371,10.0283
10,0.010063,10.0283
10,0.0100889,10.0284
10,0.0100575,10.0285
10,0.010026,10.0286
10,0.0100516,10.0287
10,0.0100773,10.0288
10,0.0100456,10.0288
10,0.010071,10.0289
10,0.0108247,10.029
10,0.00960657,10.0291
10,0.00986063,10.0292
10,0.0100003,10.0293
10,0.0100254,10.0293
10,0.0100504,10.0294
10,0.0100754,10.0295
10,0.0100431,10.0296
10,0.010068,10.0296
10,0.0100356,10.0297
10,0.0100604,10.0298
10,0.0100279,10.0299
10,0.0100525,10.0299
10,0.0100199,10.03
10,0.0100444,10.0301
10,0.0100688,10.0302
10,0.010036,10.0302
10,0.0100604,10.0303
10,0.0100275,10.0304
10,0.0100517,10.0304
10,0.0100759,10.0305
10,0.0100428,10.0306
10,0.0100669,10.0307
10,0.0100337,10.0307
